id:ID	:LABEL	label
GO:0009353	CellularComponent	mitochondrial oxoglutarate dehydrogenase complex
GO:0043596	CellularComponent	nuclear replication fork
GO:0030667	CellularComponent	secretory granule membrane
GO:0070082	CellularComponent	clathrin-sculpted monoamine transport vesicle lumen
GO:0044216	CellularComponent	other organism cell
GO:0099501	CellularComponent	exocytic vesicle membrane
GO:0033116	CellularComponent	endoplasmic reticulum-Golgi intermediate compartment membrane
GO:0005615	CellularComponent	extracellular space
GO:0005782	CellularComponent	peroxisomal matrix
GO:0045009	CellularComponent	chitosome
GO:0045240	CellularComponent	dihydrolipoyl dehydrogenase complex
GO:0009361	CellularComponent	succinate-CoA ligase complex (ADP-forming)
GO:0044454	CellularComponent	nuclear chromosome part
GO:0097348	CellularComponent	host cell endocytic vesicle membrane
GO:0034774	CellularComponent	secretory granule lumen
GO:0044177	CellularComponent	host cell Golgi apparatus
GO:1990777	CellularComponent	lipoprotein particle
GO:0098852	CellularComponent	lytic vacuole membrane
GO:0097730	CellularComponent	non-motile cilium
GO:0015630	CellularComponent	microtubule cytoskeleton
GO:0005657	CellularComponent	replication fork
GO:0042575	CellularComponent	DNA polymerase complex
GO:0005777	CellularComponent	peroxisome
GO:1902503	CellularComponent	adenylyltransferase complex
GO:0030430	CellularComponent	host cell cytoplasm
GO:0042709	CellularComponent	succinate-CoA ligase complex
GO:0043226	CellularComponent	organelle
GO:0031094	CellularComponent	platelet dense tubular network
GO:0031901	CellularComponent	early endosome membrane
GO:0043655	CellularComponent	extracellular space of host
GO:0042470	CellularComponent	melanosome
GO:1990391	CellularComponent	DNA repair complex
GO:0044165	CellularComponent	host cell endoplasmic reticulum
GO:0070822	CellularComponent	Sin3-type complex
GO:0045273	CellularComponent	respiratory chain complex II
GO:0005794	CellularComponent	Golgi apparatus
GO:0005656	CellularComponent	nuclear pre-replicative complex
GO:0005964	CellularComponent	phosphorylase kinase complex
GO:0097539	CellularComponent	ciliary transition fiber
GO:0097540	CellularComponent	axonemal central pair
GO:0030139	CellularComponent	endocytic vesicle
GO:0030313	CellularComponent	cell envelope
GO:0045335	CellularComponent	phagocytic vesicle
GO:0005783	CellularComponent	endoplasmic reticulum
GO:0042995	CellularComponent	cell projection
GO:0043240	CellularComponent	Fanconi anaemia nuclear complex
GO:0031410	CellularComponent	cytoplasmic vesicle
GO:0031907	CellularComponent	microbody lumen
GO:0031501	CellularComponent	mannosyltransferase complex
GO:1902911	CellularComponent	protein kinase complex
GO:0000784	CellularComponent	nuclear chromosome, telomeric region
GO:0044451	CellularComponent	nucleoplasm part
GO:0044432	CellularComponent	endoplasmic reticulum part
GO:0000407	CellularComponent	phagophore assembly site
GO:0098858	CellularComponent	actin-based cell projection
GO:0097733	CellularComponent	photoreceptor cell cilium
GO:0019012	CellularComponent	virion
GO:0005871	CellularComponent	kinesin complex
GO:0005667	CellularComponent	transcription factor complex
GO:0042175	CellularComponent	nuclear outer membrane-endoplasmic reticulum membrane network
GO:0005789	CellularComponent	endoplasmic reticulum membrane
GO:0045254	CellularComponent	pyruvate dehydrogenase complex
GO:0017087	CellularComponent	mitochondrial processing peptidase complex
GO:0048500	CellularComponent	signal recognition particle
GO:0001917	CellularComponent	photoreceptor inner segment
GO:0019031	CellularComponent	viral envelope
GO:0044424	CellularComponent	intracellular part
GO:0044435	CellularComponent	plastid part
